dataset_key,method,concurrency,export_batch,n_entities,rep,artifact,location,layout,n_artifacts,mb_per_artifact,mb_per_entity,stack_size,mimetype,tiled_version,server_version,url,note,wall_s,entities,expected_entities,errors,payload_mb,wire_mb,req_p50_ms,req_p95_ms,req_p99_ms,app_p50_ms,app_sum_s,net_sum_s,nav_sum_s,decode_s
EGRESS_PE_64K_BROKER,h5py_direct,1,,1000,1,signal,local,per_entity,1,0.065536,0.065536,,,0.2.13,0.2.9,,warm,5.143296395079233,1000,1000,0,65.536,0.0,,,,,0.0,0.0,0.0,0.0
EGRESS_PE_1M_BROKER,h5py_direct,1,,1000,1,signal,local,per_entity,1,1.048576,1.048576,,,0.2.13,0.2.9,,warm,8.590028495993465,1000,1000,0,1048.576,0.0,,,,,0.0,0.0,0.0,0.0
EGRESS_PE_16M_BROKER,h5py_direct,1,,256,1,signal,local,per_entity,1,16.777216,16.777216,,,0.2.13,0.2.9,,warm,5.932905769906938,256,256,0,4294.967296,0.0,,,,,0.0,0.0,0.0,0.0
EGRESS_BAT_1M_BROKER,h5py_direct,1,,1000,1,signal,local,batched,1,1.048576,1.048576,1000,,0.2.13,0.2.9,,warm,2.463218997931108,1000,1000,0,1048.576,0.0,,,,,0.0,0.0,0.0,0.0
EGRESS_BAT_16M_BROKER,h5py_direct,1,,256,1,signal,local,batched,1,16.777216,16.777216,256,,0.2.13,0.2.9,,warm,4.391610175021924,256,256,0,4294.967296,0.0,,,,,0.0,0.0,0.0,0.0
EGRESS_GRP_1M_BROKER,h5py_direct,1,,1000,1,signal,local,grouped,1,1.048576,1.048576,,,0.2.13,0.2.9,,warm,3.691043021972291,1000,1000,0,1048.576,0.0,,,,,0.0,0.0,0.0,0.0
EGRESS_PE_4X256K,h5py_direct,1,,1000,1,art_00,local,per_entity,4,0.262144,1.048576,,,0.2.13,0.2.9,,warm-one-artifact,6.767312094918452,1000,1000,0,262.144,0.0,,,,,0.0,0.0,0.0,0.0
EGRESS_PE_16X64K,h5py_direct,1,,1000,1,art_00,local,per_entity,16,0.065536,1.048576,,,0.2.13,0.2.9,,warm-one-artifact,3.8707190490094945,1000,1000,0,65.536,0.0,,,,,0.0,0.0,0.0,0.0
EGRESS_BAT_4X256K,h5py_direct,1,,1000,1,art_00,local,batched,4,0.262144,1.048576,1000,,0.2.13,0.2.9,,warm-one-artifact,2.4675377620151266,1000,1000,0,262.144,0.0,,,,,0.0,0.0,0.0,0.0
EGRESS_GRP_4X256K,h5py_direct,1,,1000,1,art_00,local,grouped,4,0.262144,1.048576,,,0.2.13,0.2.9,,warm-one-artifact,2.6032951389206573,1000,1000,0,262.144,0.0,,,,,0.0,0.0,0.0,0.0
