dataset_key,method,concurrency,export_batch,n_entities,rep,artifact,location,layout,n_artifacts,mb_per_artifact,mb_per_entity,stack_size,mimetype,tiled_version,server_version,url,note,wall_s,entities,expected_entities,errors,payload_mb,wire_mb,req_p50_ms,req_p95_ms,req_p99_ms,app_p50_ms,app_sum_s,net_sum_s,nav_sum_s,decode_s
EGRESS_PE_1M_BROKER,container_export,1,20.0,200,1,ALL,remote,per_entity,1,1.048576,1.048576,,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,6.782609418965876,200,200,0,209.7152,210.248936,339.243074064143,414.4488469464704,414.4488469464704,334.5,3.4794,0.0448997522000222,0.0,0.2040359009988606
EGRESS_PE_1M_BROKER,artifact_read,1,,200,1,ALL,remote,per_entity,1,1.048576,1.048576,,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,62.35392843501177,200,200,0,209.7152,209.7152,57.216017972677946,95.7266769837588,185.0837430683896,53.1,12.1738,1.062095948833786,43.901166787254624,0.0
EGRESS_PE_1M_BROKER,asset_bytes,1,,200,1,signal,remote,per_entity,1,1.048576,1.048576,,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,whole-file-is-whole-entity,51.32646497094538,200,200,0,0.0,210.128,53.38609905447811,102.01689100358637,216.7926350375637,49.7,12.0219,0.824951012087427,34.423743553459644,0.0
EGRESS_PE_1M_BROKER,container_export,1,20.0,200,1,signal,remote,per_entity,1,1.048576,1.048576,,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,6.355247296043672,200,200,0,209.7152,210.248936,329.4938929611817,377.8581520309672,377.8581520309672,324.7,3.2963,0.0485814428411424,0.0,0.205471150111407
EGRESS_PE_1M_BROKER,artifact_read,1,,200,1,signal,remote,per_entity,1,1.048576,1.048576,,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,40.143213839037344,200,200,0,209.7152,209.7152,56.81363004259765,89.37110903207213,162.33372001443058,52.5,11.8175,0.9061872187349944,22.522604910773225,0.0
EGRESS_PE_4X256K,container_export,1,20.0,200,1,ALL,remote,per_entity,4,0.262144,1.048576,,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,12.249142455984838,200,200,0,209.7152,210.74484,872.8937749983743,1002.6042730314656,1002.6042730314656,867.9,8.897200000000002,0.0575925920924172,0.0,0.3842290308093652
EGRESS_PE_4X256K,artifact_read,1,,200,1,ALL,remote,per_entity,4,0.262144,1.048576,,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,145.03134854102973,200,200,0,209.7152,209.7152,59.51008992269635,117.34802299179135,197.74931797292084,55.2,51.3646,3.751780789317191,80.69563579489477,0.0
EGRESS_PE_4X256K,asset_bytes,1,,200,1,art_00,remote,per_entity,4,0.262144,1.048576,,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,whole-file-is-whole-entity,51.58880141598638,200,200,0,0.0,210.5376,57.26811604108661,105.34273996017872,170.01091805286703,53.3,12.3335,0.8651246972810478,34.78377239766996,0.0
EGRESS_PE_4X256K,container_export,1,20.0,200,1,art_00,remote,per_entity,4,0.262144,1.048576,,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,11.153277667006478,200,200,0,52.4288,210.74484,804.0463289944455,906.514467089437,906.514467089437,799.1,8.2025,0.0507393048750237,0.0,0.1218743739882484
EGRESS_PE_4X256K,artifact_read,1,,200,1,art_00,remote,per_entity,4,0.262144,1.048576,,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,38.015891401912086,200,200,0,52.4288,52.4288,57.09664896130562,103.9785100147128,203.17945699207485,53.3,12.3065,1.1219696043469012,22.24785446282476,0.0
