dataset_key,method,concurrency,export_batch,n_entities,rep,artifact,location,layout,n_artifacts,mb_per_artifact,mb_per_entity,stack_size,mimetype,tiled_version,server_version,url,note,wall_s,entities,expected_entities,errors,payload_mb,wire_mb,req_p50_ms,req_p95_ms,req_p99_ms,app_p50_ms,app_sum_s,net_sum_s,nav_sum_s,decode_s
EGRESS_PE_1M_BROKER,container_export,1,20,1,1,signal,remote,per_entity,1,1.048576,1.048576,,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,0.08019687701016665,1,1,0,1.048576,1.056392,59.308871044777334,59.308871044777334,59.308871044777334,55.0,0.055,0.0043088710447773335,0.0,0.004378870013169944
EGRESS_PE_1M_BROKER,artifact_read,1,,1,1,signal,remote,per_entity,1,1.048576,1.048576,,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,0.19553687097504735,1,1,0,1.048576,1.048576,80.55516495369375,80.55516495369375,80.55516495369375,76.5,0.0765,0.004055164953693747,0.09222325799055398,0.0
EGRESS_PE_1M_BROKER,asset_bytes,1,,1,1,signal,remote,per_entity,1,1.048576,1.048576,,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,0.21807693503797054,1,1,0,0.0,1.05064,48.48682298325002,48.48682298325002,48.48682298325002,45.0,0.045,0.003486822983250022,0.1506669889204204,0.0
EGRESS_BAT_1M_BROKER,container_export,1,20,1,1,signal,remote,batched,1,1.048576,1.048576,1000,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,0.08254474902059883,1,1,0,1.048576,1.056456,58.38501697871834,58.38501697871834,58.38501697871834,53.6,0.0536,0.004785016978718339,0.0,0.0030946149490773678
EGRESS_BAT_1M_BROKER,artifact_read,1,,1,1,signal,remote,batched,1,1.048576,1.048576,1000,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,0.20737258496228606,1,1,0,1.048576,1.048576,62.048154999502,62.048154999502,62.048154999502,54.9,0.0549,0.007148154999502005,0.12351097294595093,0.0
EGRESS_PE_1M_BROKER,container_export,1,20,2,1,signal,remote,per_entity,1,1.048576,1.048576,,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,0.11078866198658943,2,2,0,2.097152,2.107032,80.04923793487251,80.04923793487251,80.04923793487251,76.3,0.07629999999999999,0.003749237934872511,0.0,0.0040128129767253995
EGRESS_PE_1M_BROKER,artifact_read,1,,2,1,signal,remote,per_entity,1,1.048576,1.048576,,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,0.3592895669862628,2,2,0,2.097152,2.097152,49.67939399648458,55.15062401536852,55.15062401536852,45.8,0.0968,0.008030018011853102,0.19076715293340385,0.0
EGRESS_PE_1M_BROKER,asset_bytes,1,,2,1,signal,remote,per_entity,1,1.048576,1.048576,,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,0.43150986288674176,2,2,0,0.0,2.10128,49.85997301992029,52.265995065681636,52.265995065681636,46.0,0.0943,0.00782596808560193,0.2933882988290861,0.0
EGRESS_BAT_1M_BROKER,container_export,1,20,2,1,signal,remote,batched,1,1.048576,1.048576,1000,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,0.1136538339778781,2,2,0,2.097152,2.10716,81.36255003046244,81.36255003046244,81.36255003046244,77.6,0.07759999999999999,0.0037625500304624493,0.0,0.0026736879954114556
EGRESS_BAT_1M_BROKER,artifact_read,1,,2,1,signal,remote,batched,1,1.048576,1.048576,1000,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,0.34721931791864336,2,2,0,2.097152,2.097152,52.77881899382919,54.063367075286806,54.063367075286806,48.8,0.0988,0.008042186069116,0.1980263409204781,0.0
EGRESS_PE_1M_BROKER,container_export,1,20,5,1,signal,remote,per_entity,1,1.048576,1.048576,,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,0.2047222349792719,5,5,0,5.24288,5.259288,110.01073196530342,110.01073196530342,110.01073196530342,105.8,0.10579999999999999,0.004210731965303424,0.0,0.007606833009049296
EGRESS_PE_1M_BROKER,artifact_read,1,,5,1,signal,remote,per_entity,1,1.048576,1.048576,,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,0.9208871650043875,5,5,0,5.24288,5.24288,57.687913067638874,105.23002000991255,105.23002000991255,53.7,0.3155,0.01998860612791031,0.4706568402471021,0.0
EGRESS_PE_1M_BROKER,asset_bytes,1,,5,1,signal,remote,per_entity,1,1.048576,1.048576,,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,1.1031080019893125,5,5,0,0.0,5.2532,51.10840103588998,76.88875496387482,76.88875496387482,46.9,0.2671,0.020569675075449056,0.7297042519785464,0.0
EGRESS_BAT_1M_BROKER,container_export,1,20,5,1,signal,remote,batched,1,1.048576,1.048576,1000,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,0.20638019603211433,5,5,0,5.24288,5.259608,114.35286700725555,114.35286700725555,114.35286700725555,110.1,0.11009999999999999,0.0042528670072555595,0.0,0.005338659044355154
EGRESS_BAT_1M_BROKER,artifact_read,1,,5,1,signal,remote,batched,1,1.048576,1.048576,1000,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,0.8514879429712892,5,5,0,5.24288,5.24288,52.75881104171276,62.44580599013716,62.44580599013716,47.9,0.2528,0.02152676299940795,0.45913043001201004,0.0
EGRESS_PE_1M_BROKER,container_export,1,20,10,1,signal,remote,per_entity,1,1.048576,1.048576,,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,0.3420600889949128,10,10,0,10.48576,10.513192,177.12883302010596,177.12883302010596,177.12883302010596,173.2,0.1732,0.0039288330201059695,0.0,0.009725593030452728
EGRESS_PE_1M_BROKER,artifact_read,1,,10,1,signal,remote,per_entity,1,1.048576,1.048576,,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,1.9231856489786878,10,10,0,10.48576,10.48576,53.87704004533589,212.16903789900243,212.16903789900243,50.1,0.6886,0.039269309950619946,0.9577073631808162,0.0
EGRESS_PE_1M_BROKER,asset_bytes,1,,10,1,signal,remote,per_entity,1,1.048576,1.048576,,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,2.223629329004325,10,10,0,0.0,10.5064,49.85355096869171,57.50290001742542,57.50290001742542,46.4,0.4773,0.03817392015345395,1.539862817618996,0.0
EGRESS_BAT_1M_BROKER,container_export,1,20,10,1,signal,remote,batched,1,1.048576,1.048576,1000,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,0.33070011297240853,10,10,0,10.48576,10.513832,165.75098095927387,165.75098095927387,165.75098095927387,161.8,0.1618,0.003950980959273863,0.0,0.009939108975231647
EGRESS_BAT_1M_BROKER,artifact_read,1,,10,1,signal,remote,batched,1,1.048576,1.048576,1000,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,1.7961325920186937,10,10,0,10.48576,10.48576,54.00443205144256,68.06300801690668,68.06300801690668,50.3,0.5348999999999999,0.03819728814288975,1.0055848623160273,0.0
EGRESS_PE_1M_BROKER,container_export,1,20,25,1,signal,remote,per_entity,1,1.048576,1.048576,,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,0.8547363970428705,25,25,0,26.2144,26.284344,133.25733901001513,311.67236994951963,311.67236994951963,129.1,0.43689999999999996,0.008029708959534759,0.0,0.026520475978031754
EGRESS_PE_1M_BROKER,artifact_read,1,,25,1,signal,remote,per_entity,1,1.048576,1.048576,,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,4.9425263568991795,25,25,0,26.2144,26.2144,57.56809504237026,135.64001000486314,283.66606507916003,53.4,1.6745,0.09757966777496038,2.6390745112439618,0.0
EGRESS_PE_1M_BROKER,asset_bytes,1,,25,1,signal,remote,per_entity,1,1.048576,1.048576,,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,5.80997792200651,25,25,0,0.0,26.266,52.06110398285091,64.82983601745218,121.65016797371209,48.2,1.2875,0.09492910208646207,3.9851133335614577,0.0
EGRESS_BAT_1M_BROKER,container_export,1,20,25,1,signal,remote,batched,1,1.048576,1.048576,1000,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,0.7734044509707019,25,25,0,26.2144,26.28596,123.11519600916654,281.88838600181043,281.88838600181043,119.3,0.3971,0.007903582010976962,0.0,0.02476476097945124
EGRESS_BAT_1M_BROKER,artifact_read,1,,25,1,signal,remote,batched,1,1.048576,1.048576,1000,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,4.791631186031736,25,25,0,26.2144,26.2144,55.665366002358496,68.73272510711104,77.12077698670328,51.8,1.3425,0.10078366406261922,2.7514239439042285,0.0
EGRESS_PE_1M_BROKER,container_export,1,20,50,1,signal,remote,per_entity,1,1.048576,1.048576,,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,1.468094093957916,50,50,0,52.4288,52.563304,270.968156051822,290.0689489906654,290.0689489906654,267.0,0.7099,0.012927846067957575,0.0,0.05104887392371893
EGRESS_PE_1M_BROKER,artifact_read,1,,50,1,signal,remote,per_entity,1,1.048576,1.048576,,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,9.538692662026733,50,50,0,52.4288,52.4288,55.44449295848608,69.12206497509032,124.07500704284757,51.5,2.7195,0.20379365795012563,5.333884633611888,0.0
EGRESS_PE_1M_BROKER,asset_bytes,1,,50,1,signal,remote,per_entity,1,1.048576,1.048576,,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,11.342975036939606,50,50,0,0.0,52.532,50.14346796087921,65.3406479395926,145.2737250365317,46.4,2.4718,0.19821648212317375,7.772924669552594,0.0
EGRESS_BAT_1M_BROKER,container_export,1,20,50,1,signal,remote,batched,1,1.048576,1.048576,1000,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,1.8063332249876112,50,50,0,52.4288,52.566208,321.26413204241544,364.58657204639167,364.58657204639167,316.7,0.9480999999999999,0.01237348808497194,0.0,0.0644423000048846
EGRESS_BAT_1M_BROKER,artifact_read,1,,50,1,signal,remote,batched,1,1.048576,1.048576,1000,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,9.529828001977876,50,50,0,52.4288,52.4288,53.68713801726699,65.73244405444711,134.10011504311115,49.8,2.6528,0.19855240503586827,5.3464717054739594,0.0
EGRESS_PE_1M_BROKER,container_export,1,20,100,1,signal,remote,per_entity,1,1.048576,1.048576,,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,3.0431686490774155,100,100,0,104.8576,105.12464,300.09267397690564,314.67719399370253,314.67719399370253,296.3,1.4542,0.021293936915881943,0.0,0.10796666122041643
EGRESS_PE_1M_BROKER,artifact_read,1,,100,1,signal,remote,per_entity,1,1.048576,1.048576,,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,18.555762839037925,100,100,0,104.8576,104.8576,55.44517806265503,102.04793908633292,161.12645098473877,51.4,5.4997,0.6137899449534714,9.978675691061653,0.0
EGRESS_PE_1M_BROKER,asset_bytes,1,,100,1,signal,remote,per_entity,1,1.048576,1.048576,,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,23.505537052988075,100,100,0,0.0,105.064,52.217533928342164,69.44082491099834,142.42615399416536,48.3,5.2645,0.39800082885380833,16.104359901044518,0.0
EGRESS_BAT_1M_BROKER,container_export,1,20,100,1,signal,remote,batched,1,1.048576,1.048576,1000,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,3.0113357710652053,100,100,0,104.8576,105.131104,301.3795129954815,331.5481459721923,331.5481459721923,297.5,1.5072,0.02148519793264569,0.0,0.10382153815589845
EGRESS_BAT_1M_BROKER,artifact_read,1,,100,1,signal,remote,batched,1,1.048576,1.048576,1000,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,18.77310128090903,100,100,0,104.8576,104.8576,55.77155202627182,74.62813099846244,140.2516959933564,51.8,5.5043999999999995,0.48580883848425005,10.342456793761812,0.0
EGRESS_PE_1M_BROKER,container_export,1,20,250,1,signal,remote,per_entity,1,1.048576,1.048576,,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,8.36803668003995,250,250,0,262.144,262.81224,317.366212955676,465.45287396293133,465.45287396293133,294.2,4.1658,0.16729112093411386,0.0,0.30121004523243755
EGRESS_PE_1M_BROKER,artifact_read,1,,250,1,signal,remote,per_entity,1,1.048576,1.048576,,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,48.22523657802958,250,250,0,262.144,262.144,56.749155977740884,76.85565506108105,150.53995698690414,52.6,14.0386,1.1163551241332663,26.53218328289222,0.0
EGRESS_PE_1M_BROKER,asset_bytes,1,,250,1,signal,remote,per_entity,1,1.048576,1.048576,,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,57.8390222589951,250,250,0,0.0,262.66,52.075204090215266,74.19856102205813,157.96580200549215,48.1,13.111,1.0762957280138508,39.251745551940985,0.0
