dataset_key,method,concurrency,export_batch,n_entities,rep,artifact,location,layout,n_artifacts,mb_per_artifact,mb_per_entity,stack_size,mimetype,tiled_version,server_version,url,note,wall_s,entities,expected_entities,errors,payload_mb,wire_mb,req_p50_ms,req_p95_ms,req_p99_ms,app_p50_ms,app_sum_s,net_sum_s,nav_sum_s,decode_s
EGRESS_PE_16M_BROKER,container_export,1,1,32,1,signal,remote,per_entity,1,16.777216,16.777216,,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,12.059573490987532,32,32,0,536.870912,537.121024,68.08581098448485,120.89341599494219,139.50178097002208,61.0,2.206,0.21122229076549406,0.0,0.8151664612814784
EGRESS_PE_16M_BROKER,artifact_read,1,,32,1,signal,remote,per_entity,1,16.777216,16.777216,,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,13.834430392016657,32,32,0,536.870912,536.870912,87.80280291102827,129.41984308417886,185.95705996267498,83.6,2.8337,0.13439553808998314,3.290340228122659,0.0
EGRESS_PE_16M_BROKER,container_export,2,1,32,1,signal,remote,per_entity,1,16.777216,16.777216,,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,6.479227775940672,32,32,0,536.870912,537.121024,64.29642101284117,123.88050905428827,159.13706400897354,59.9,2.1581,0.26896353007815776,0.0,0.7068140059709549
EGRESS_PE_16M_BROKER,artifact_read,2,,32,1,signal,remote,per_entity,1,16.777216,16.777216,,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,8.398679209989496,32,32,0,536.870912,536.870912,89.41063098609447,164.16941303759813,247.19100003130734,84.9,3.0597,0.29879196009803566,3.656056334031746,0.0
EGRESS_PE_16M_BROKER,container_export,4,1,32,1,signal,remote,per_entity,1,16.777216,16.777216,,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,4.69353874202352,32,32,0,536.870912,537.121024,67.80998699832708,122.64454108662903,239.35223498847336,62.7,2.2725999999999997,0.43242034539822494,0.0,0.9180588230956346
EGRESS_PE_16M_BROKER,artifact_read,4,,32,1,signal,remote,per_entity,1,16.777216,16.777216,,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,5.060322024975903,32,32,0,536.870912,536.870912,94.58603395614773,146.80223201867193,231.97809990961105,89.4,3.1466999999999996,0.17413567883819342,3.587135291774757,0.0
EGRESS_PE_16M_BROKER,container_export,8,1,32,1,signal,remote,per_entity,1,16.777216,16.777216,,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,3.82775205897633,32,32,0,536.870912,537.121024,71.55614299699664,113.29432693310082,195.09979605209082,62.4,2.3472,0.3577484146991744,0.0,1.2648098850622773
EGRESS_PE_16M_BROKER,artifact_read,8,,32,1,signal,remote,per_entity,1,16.777216,16.777216,,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,4.015529285999946,32,32,0,536.870912,536.870912,108.80771896336228,223.19630405399948,262.6571840373799,102.0,3.8804000000000003,0.1739593129841611,5.586729773203842,0.0
EGRESS_PE_16M_BROKER,container_export,16,1,32,1,signal,remote,per_entity,1,16.777216,16.777216,,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,4.161740284995176,32,32,0,536.870912,537.121024,103.85891899932176,257.5601909775287,260.22659393493086,96.1,3.6731,0.2952991211932153,0.0,5.460445175413042
EGRESS_PE_16M_BROKER,artifact_read,16,,32,1,signal,remote,per_entity,1,16.777216,16.777216,,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,3.665720673976466,32,32,0,536.870912,536.870912,129.40817303024232,272.41360407788306,343.93706207629293,119.2,4.4578999999999995,0.5559658196665347,7.669700389029458,0.0
