dataset_key,method,concurrency,export_batch,n_entities,rep,artifact,location,layout,n_artifacts,mb_per_artifact,mb_per_entity,stack_size,mimetype,tiled_version,server_version,url,note,wall_s,entities,expected_entities,errors,payload_mb,wire_mb,req_p50_ms,req_p95_ms,req_p99_ms,app_p50_ms,app_sum_s,net_sum_s,nav_sum_s,decode_s
EGRESS_PE_1M,container_export,1,20,200,1,signal,remote,per_entity,1,1.048576,1.048576,,application/x-hdf5,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,12.026726599084213,200,200,0,209.7152,210.241464,820.4059930285439,1098.8283730112016,1098.8283730112016,815.2,8.783100000000001,0.04697402590010313,0.0,0.21589616627898067
EGRESS_PE_1M,artifact_read,1,,200,1,signal,remote,per_entity,1,1.048576,1.048576,,application/x-hdf5,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,44.329434113926254,200,200,0,209.7152,209.7152,81.822689040564,148.22898095007986,226.05501604266465,77.7,17.3523,0.9012272658569739,21.214278258616105,0.0
EGRESS_BAT_1M,artifact_read,1,,8,1,signal,remote,batched,1,1.048576,1.048576,1000,application/x-hdf5,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,stock-batched-n8-cap,30.282428647042252,8,8,0,8.388608,8.388608,3012.395842000842,6874.28185204044,6874.28185204044,3007.5,29.2285,0.03462781311571598,0.8098143709357828,0.0
EGRESS_BAT_1M_BROKER,artifact_read,1,,8,1,signal,remote,batched,1,1.048576,1.048576,1000,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,1.8863909139763564,8,8,0,8.388608,8.388608,60.588589985854924,270.9122789092362,270.9122789092362,56.5,0.7927,0.0313182676818222,0.8922192751197144,0.0
EGRESS_PE_1M,container_export,1,20,200,2,signal,remote,per_entity,1,1.048576,1.048576,,application/x-hdf5,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,11.527788004954346,200,200,0,209.7152,210.241464,800.8903820300475,1019.1306140040979,1019.1306140040979,796.9,8.3265,0.04338773511257011,0.0,0.21692085394170135
EGRESS_PE_1M,artifact_read,1,,200,2,signal,remote,per_entity,1,1.048576,1.048576,,application/x-hdf5,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,44.459165454958566,200,200,0,209.7152,209.7152,78.68297200184315,122.33181402552873,244.786896975711,74.3,16.1502,1.167638689428754,21.68320867489092,0.0
EGRESS_BAT_1M,artifact_read,1,,8,2,signal,remote,batched,1,1.048576,1.048576,1000,application/x-hdf5,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,stock-batched-n8-cap,43.75869881804101,8,8,0,8.388608,8.388608,5736.02612700779,7218.775731977075,7218.775731977075,5731.7,42.5691,0.037867071071267216,0.8272365741431713,0.0
EGRESS_BAT_1M_BROKER,artifact_read,1,,8,2,signal,remote,batched,1,1.048576,1.048576,1000,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,1.4862363999709487,8,8,0,8.388608,8.388608,54.626964032649994,66.0779878962785,66.0779878962785,50.8,0.4343,0.03191539210900664,0.8242230801843107,0.0
EGRESS_PE_1M,container_export,1,20,200,3,signal,remote,per_entity,1,1.048576,1.048576,,application/x-hdf5,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,12.311641191947274,200,200,0,209.7152,210.241464,858.5984769742936,1044.4424850866199,1044.4424850866199,852.1,8.813600000000001,0.049734462046623205,0.0,0.24240452505182475
EGRESS_PE_1M,artifact_read,1,,200,3,signal,remote,per_entity,1,1.048576,1.048576,,application/x-hdf5,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,43.832607464981265,200,200,0,209.7152,209.7152,78.93568300642073,153.14642095472664,226.822379976511,74.8,16.8575,0.9297416363097728,21.424462309572846,0.0
EGRESS_BAT_1M,artifact_read,1,,8,3,signal,remote,batched,1,1.048576,1.048576,1000,application/x-hdf5,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,stock-batched-n8-cap,38.56420145602897,8,8,0,8.388608,8.388608,3826.975193922408,6585.521385073662,6585.521385073662,3822.9,37.431599999999996,0.033414102985151205,0.8793230908922851,0.0
EGRESS_BAT_1M_BROKER,artifact_read,1,,8,3,signal,remote,batched,1,1.048576,1.048576,1000,application/x-hdf5-broker,0.2.13,0.2.10b5.dev3+g95fc94e15,https://lcls-data-portal.slac.stanford.edu/tiled-test,,1.46729470603168,8,8,0,8.388608,8.388608,55.678371922113,67.90118594653904,67.90118594653904,51.9,0.438,0.032954208867624395,0.8114021852379665,0.0
EGRESS_BAT_1M,artifact_read,1,,8,1,signal,local,batched,1,1.048576,1.048576,1000,application/x-hdf5,0.2.13,0.2.9,http://127.0.0.1:46009,stock-batched-n8-cap,11.100157520966604,8,8,0,8.388608,8.388608,1205.964680062607,1361.5648290142417,1361.5648290142417,1202.3,10.0693,0.0330397551616652,0.9179092781851068,0.0
EGRESS_BAT_1M_BROKER,artifact_read,1,,8,1,signal,local,batched,1,1.048576,1.048576,1000,application/x-hdf5-broker,0.2.13,0.2.9,http://127.0.0.1:46009,,1.5873598550679162,8,8,0,8.388608,8.388608,68.12586402520537,113.43856598250568,113.43856598250568,65.1,0.5628,0.03536416492685677,0.9031404467532411,0.0
