dataset_key,method,concurrency,export_batch,n_entities,rep,artifact,location,layout,n_artifacts,mb_per_artifact,mb_per_entity,stack_size,mimetype,tiled_version,server_version,url,note,wall_s,entities,expected_entities,errors,payload_mb,wire_mb,req_p50_ms,req_p95_ms,req_p99_ms,app_p50_ms,app_sum_s,net_sum_s,nav_sum_s,decode_s
EGRESS_PE_1M_BROKER,container_export,1,20,200,1,signal,remote,per_entity,1,1.048576,1.048576,,application/x-hdf5-broker,0.2.13,0.2.15b1.dev14+b7aafcd1,https://lcls-data-portal.slac.stanford.edu/tiled-test,milano-exclusive-control w16fix0811,16.78748524095863,200,200,0,209.7152,210.248936,1180.9600675478578,2656.6230645403266,2656.6230645403266,1176.6,14.0719,0.04288408332914127,0.0,0.08096943143755198
EGRESS_PE_1M_BROKER,artifact_read,1,,200,1,signal,remote,per_entity,1,1.048576,1.048576,,application/x-hdf5-broker,0.2.13,0.2.15b1.dev14+b7aafcd1,https://lcls-data-portal.slac.stanford.edu/tiled-test,milano-exclusive-control w16fix0811,39.949676886200905,200,200,0,209.7152,209.7152,59.582749381661415,134.26137436181307,182.93228652328253,56.0,13.673200000000001,0.7486841027468443,20.948804521001875,0.0
EGRESS_PE_1M_BROKER,asset_bytes,1,,200,1,signal,remote,per_entity,1,1.048576,1.048576,,application/x-hdf5-broker,0.2.13,0.2.15b1.dev14+b7aafcd1,https://lcls-data-portal.slac.stanford.edu/tiled-test,milano-exclusive-control w16fix0811,46.36604338418692,200,200,0,0.0,210.128,53.94310038536787,103.19242347031832,162.26934920996428,50.3,11.2512,0.7827474361389876,31.079267228022218,0.0
EGRESS_PE_16M_BROKER,container_export,1,1,32,1,signal,remote,per_entity,1,16.777216,16.777216,,application/x-hdf5-broker,0.2.13,0.2.15b1.dev14+b7aafcd1,https://lcls-data-portal.slac.stanford.edu/tiled-test,milano-exclusive-control w16fix0811,12.077149367891252,32,32,0,536.870912,537.121024,100.19753687083721,547.2403382882476,677.041900344193,95.8,5.047899999999999,0.2068834161669015,0.0,0.17003829590976238
EGRESS_PE_16M_BROKER,artifact_read,1,,32,1,signal,remote,per_entity,1,16.777216,16.777216,,application/x-hdf5-broker,0.2.13,0.2.15b1.dev14+b7aafcd1,https://lcls-data-portal.slac.stanford.edu/tiled-test,milano-exclusive-control w16fix0811,13.7685129288584,32,32,0,536.870912,536.870912,111.66971549391747,269.2053345963359,297.57016617804766,107.9,3.8857,0.21868013821840293,3.3115056408569217,0.0
EGRESS_PE_16M_BROKER,container_export,8,1,32,1,signal,remote,per_entity,1,16.777216,16.777216,,application/x-hdf5-broker,0.2.13,0.2.15b1.dev14+b7aafcd1,https://lcls-data-portal.slac.stanford.edu/tiled-test,milano-exclusive-control w16fix0811,2.9885941362008452,32,32,0,536.870912,537.121024,106.0677208006382,370.88246177881956,436.8200358003378,101.4,4.2052,0.16300515990257256,0.0,0.19487635511904955
EGRESS_PE_16M_BROKER,artifact_read,8,,32,1,signal,remote,per_entity,1,16.777216,16.777216,,application/x-hdf5-broker,0.2.13,0.2.15b1.dev14+b7aafcd1,https://lcls-data-portal.slac.stanford.edu/tiled-test,milano-exclusive-control w16fix0811,3.627817119471729,32,32,0,536.870912,536.870912,112.86963243037462,218.996187672019,350.8795630186796,109.3,3.82,0.16297561705112457,4.630090709775686,0.0
EGRESS_PE_16M_BROKER,container_export,16,1,32,1,signal,remote,per_entity,1,16.777216,16.777216,,application/x-hdf5-broker,0.2.13,0.2.15b1.dev14+b7aafcd1,https://lcls-data-portal.slac.stanford.edu/tiled-test,milano-exclusive-control w16fix0811,3.2607914227992296,32,32,0,536.870912,537.121024,95.68843338638544,294.75274216383696,418.78714971244335,88.3,3.7882,0.4101853215351701,0.0,0.4106637919321656
EGRESS_PE_16M_BROKER,artifact_read,16,,32,1,signal,remote,per_entity,1,16.777216,16.777216,,application/x-hdf5-broker,0.2.13,0.2.15b1.dev14+b7aafcd1,https://lcls-data-portal.slac.stanford.edu/tiled-test,milano-exclusive-control w16fix0811,3.3382432963699102,32,32,0,536.870912,536.870912,128.23562137782574,219.17273942381144,226.18538327515125,120.7,4.1867,0.2612909371584654,6.677681507542729,0.0
EGRESS_PE_1M_BROKER,container_export,1,20,200,2,signal,remote,per_entity,1,1.048576,1.048576,,application/x-hdf5-broker,0.2.13,0.2.15b1.dev14+b7aafcd1,https://lcls-data-portal.slac.stanford.edu/tiled-test,milano-exclusive-control w16fix0811,6.786747531965375,200,200,0,209.7152,210.248936,363.40372171252966,436.56777031719685,436.56777031719685,359.1,3.6917,0.05126545144170524,0.0,0.09052044432610273
EGRESS_PE_1M_BROKER,artifact_read,1,,200,2,signal,remote,per_entity,1,1.048576,1.048576,,application/x-hdf5-broker,0.2.13,0.2.15b1.dev14+b7aafcd1,https://lcls-data-portal.slac.stanford.edu/tiled-test,milano-exclusive-control w16fix0811,39.01460708025843,200,200,0,209.7152,209.7152,59.167053550481796,98.81529677659273,177.7102965861559,55.5,12.275,0.752613477781415,21.429447236470878,0.0
EGRESS_PE_1M_BROKER,asset_bytes,1,,200,2,signal,remote,per_entity,1,1.048576,1.048576,,application/x-hdf5-broker,0.2.13,0.2.15b1.dev14+b7aafcd1,https://lcls-data-portal.slac.stanford.edu/tiled-test,milano-exclusive-control w16fix0811,45.578942214138806,200,200,0,0.0,210.128,53.46448253840208,74.50499292463064,171.16341926157475,49.7,10.8191,0.7661641044184565,31.03788658697158,0.0
EGRESS_PE_16M_BROKER,container_export,1,1,32,2,signal,remote,per_entity,1,16.777216,16.777216,,application/x-hdf5-broker,0.2.13,0.2.15b1.dev14+b7aafcd1,https://lcls-data-portal.slac.stanford.edu/tiled-test,milano-exclusive-control w16fix0811,9.548549331724644,32,32,0,536.870912,537.121024,84.26832500845194,146.94888144731522,188.41902166604996,79.6,2.7577,0.12975971582829954,0.0,0.17255017813295126
EGRESS_PE_16M_BROKER,artifact_read,1,,32,2,signal,remote,per_entity,1,16.777216,16.777216,,application/x-hdf5-broker,0.2.13,0.2.15b1.dev14+b7aafcd1,https://lcls-data-portal.slac.stanford.edu/tiled-test,milano-exclusive-control w16fix0811,13.955313707701862,32,32,0,536.870912,536.870912,100.04285722970963,132.32381734997034,167.94533096253872,96.4,3.2324,0.12662170184999702,3.583405069075525,0.0
EGRESS_PE_16M_BROKER,container_export,8,1,32,2,signal,remote,per_entity,1,16.777216,16.777216,,application/x-hdf5-broker,0.2.13,0.2.15b1.dev14+b7aafcd1,https://lcls-data-portal.slac.stanford.edu/tiled-test,milano-exclusive-control w16fix0811,2.986843821592629,32,32,0,536.870912,537.121024,90.65411239862442,306.43568094819784,502.9861405491829,71.7,3.8793,0.4689335982844234,0.0,0.27828650176525116
EGRESS_PE_16M_BROKER,artifact_read,8,,32,2,signal,remote,per_entity,1,16.777216,16.777216,,application/x-hdf5-broker,0.2.13,0.2.15b1.dev14+b7aafcd1,https://lcls-data-portal.slac.stanford.edu/tiled-test,milano-exclusive-control w16fix0811,3.177107715047896,32,32,0,536.870912,536.870912,115.13131018728018,199.80420265346766,219.61519215255976,107.8,3.7788000000000004,0.2506057745486498,3.9444236010313034,0.0
EGRESS_PE_16M_BROKER,container_export,16,1,32,2,signal,remote,per_entity,1,16.777216,16.777216,,application/x-hdf5-broker,0.2.13,0.2.15b1.dev14+b7aafcd1,https://lcls-data-portal.slac.stanford.edu/tiled-test,milano-exclusive-control w16fix0811,3.1997113758698106,32,32,0,536.870912,537.121024,84.03113204985857,361.0213212668896,365.10763969272375,78.5,3.6043000000000003,0.241236345615983,0.0,0.5036541828885674
