dataset_key,method,concurrency,export_batch,n_entities,rep,artifact,location,layout,n_artifacts,mb_per_artifact,mb_per_entity,stack_size,mimetype,tiled_version,server_version,url,note,wall_s,entities,expected_entities,errors,payload_mb,wire_mb,req_p50_ms,req_p95_ms,req_p99_ms,app_p50_ms,app_sum_s,net_sum_s,nav_sum_s,decode_s
EGRESS_PE_1M_BROKER,container_export,1,20,200,1,signal,remote,per_entity,1,1.048576,1.048576,,application/x-hdf5-broker,0.2.13,0.2.14.dev18+aa32112d,https://lcls-data-portal.slac.stanford.edu/tiled-test,milano-exclusive-control w16pool,7.721536738798022,200,200,0,209.7152,210.248936,496.4320547878742,601.7810329794884,601.7810329794884,492.0,4.9483999999999995,0.04153701301515099,0.0,0.09347460232675076
EGRESS_PE_1M_BROKER,artifact_read,1,,200,1,signal,remote,per_entity,1,1.048576,1.048576,,application/x-hdf5-broker,0.2.13,0.2.14.dev18+aa32112d,https://lcls-data-portal.slac.stanford.edu/tiled-test,milano-exclusive-control w16pool,37.90164338611066,200,200,0,209.7152,209.7152,57.91462678462267,127.84245144575834,228.2086657360196,54.3,12.7261,0.8159150393620134,20.05830555036664,0.0
EGRESS_PE_1M_BROKER,asset_bytes,1,,200,1,signal,remote,per_entity,1,1.048576,1.048576,,application/x-hdf5-broker,0.2.13,0.2.14.dev18+aa32112d,https://lcls-data-portal.slac.stanford.edu/tiled-test,milano-exclusive-control w16pool,47.44225226249546,200,200,0,0.0,210.128,54.05668821185827,89.24735244363546,174.41237159073353,50.6,11.3294,0.787948269559443,32.41057843435556,0.0
EGRESS_PE_16M_BROKER,container_export,1,1,32,1,signal,remote,per_entity,1,16.777216,16.777216,,application/x-hdf5-broker,0.2.13,0.2.14.dev18+aa32112d,https://lcls-data-portal.slac.stanford.edu/tiled-test,milano-exclusive-control w16pool,9.887116745114326,32,32,0,536.870912,537.121024,88.79305515438318,206.41932729631662,250.71730371564627,82.8,3.2908000000000004,0.1313656117588282,0.0,0.22224305290728807
EGRESS_PE_16M_BROKER,artifact_read,1,,32,1,signal,remote,per_entity,1,16.777216,16.777216,,application/x-hdf5-broker,0.2.13,0.2.14.dev18+aa32112d,https://lcls-data-portal.slac.stanford.edu/tiled-test,milano-exclusive-control w16pool,14.955215361900628,32,32,0,536.870912,536.870912,89.61853757500648,149.742660112679,197.77118600904942,84.9,3.0667,0.25379664016813036,3.513865878805518,0.0
EGRESS_PE_16M_BROKER,container_export,8,1,32,1,signal,remote,per_entity,1,16.777216,16.777216,,application/x-hdf5-broker,0.2.13,0.2.14.dev18+aa32112d,https://lcls-data-portal.slac.stanford.edu/tiled-test,milano-exclusive-control w16pool,3.1050233030691743,32,32,0,536.870912,537.121024,86.92451193928719,221.8402698636055,237.85597924143076,82.3,3.1968,0.16594057254195213,0.0,0.32402236852794886
EGRESS_PE_16M_BROKER,artifact_read,8,,32,1,signal,remote,per_entity,1,16.777216,16.777216,,application/x-hdf5-broker,0.2.13,0.2.14.dev18+aa32112d,https://lcls-data-portal.slac.stanford.edu/tiled-test,milano-exclusive-control w16pool,3.6975349569693208,32,32,0,536.870912,536.870912,99.61187839508057,347.0537383109331,463.4065767750144,94.1,4.373600000000001,0.1474860259830952,4.920777198858559,0.0
EGRESS_PE_16M_BROKER,container_export,16,1,32,1,signal,remote,per_entity,1,16.777216,16.777216,,application/x-hdf5-broker,0.2.13,0.2.14.dev18+aa32112d,https://lcls-data-portal.slac.stanford.edu/tiled-test,milano-exclusive-control w16pool,3.436995144933462,32,32,0,536.870912,537.121024,106.29174392670393,495.6716485321522,509.2500997707248,100.8,5.0381,0.22455606842935083,0.0,0.6797388130798936
EGRESS_PE_16M_BROKER,artifact_read,16,,32,1,signal,remote,per_entity,1,16.777216,16.777216,,application/x-hdf5-broker,0.2.13,0.2.14.dev18+aa32112d,https://lcls-data-portal.slac.stanford.edu/tiled-test,milano-exclusive-control w16pool,3.585159679874778,32,32,0,536.870912,536.870912,125.83060655742884,295.47679610550404,401.07277873903513,120.9,4.7738000000000005,0.1885811570927501,5.667118355631828,0.0
EGRESS_PE_1M_BROKER,container_export,1,20,200,2,signal,remote,per_entity,1,1.048576,1.048576,,application/x-hdf5-broker,0.2.13,0.2.14.dev18+aa32112d,https://lcls-data-portal.slac.stanford.edu/tiled-test,milano-exclusive-control w16pool,7.058840655721724,200,200,0,209.7152,210.248936,403.0296579003334,464.20799009501934,464.20799009501934,399.2,4.181100000000001,0.041326472231745695,0.0,0.08407655823975801
EGRESS_PE_1M_BROKER,artifact_read,1,,200,2,signal,remote,per_entity,1,1.048576,1.048576,,application/x-hdf5-broker,0.2.13,0.2.14.dev18+aa32112d,https://lcls-data-portal.slac.stanford.edu/tiled-test,milano-exclusive-control w16pool,38.54507941287011,200,200,0,209.7152,209.7152,58.81397519260645,86.56744658946991,137.70096190273762,55.3,11.895,0.8035244750976562,21.364519299007952,0.0
EGRESS_PE_1M_BROKER,asset_bytes,1,,200,2,signal,remote,per_entity,1,1.048576,1.048576,,application/x-hdf5-broker,0.2.13,0.2.14.dev18+aa32112d,https://lcls-data-portal.slac.stanford.edu/tiled-test,milano-exclusive-control w16pool,46.847767336294055,200,200,0,0.0,210.128,54.3143916875124,122.39244394004345,167.47383400797844,50.7,11.7706,0.7546337213605643,31.596543099731207,0.0
EGRESS_PE_16M_BROKER,container_export,1,1,32,2,signal,remote,per_entity,1,16.777216,16.777216,,application/x-hdf5-broker,0.2.13,0.2.14.dev18+aa32112d,https://lcls-data-portal.slac.stanford.edu/tiled-test,milano-exclusive-control w16pool,9.655529344454408,32,32,0,536.870912,537.121024,82.00979512184858,180.18945213407278,198.1974644586444,78.2,2.7285999999999997,0.1286419453412294,0.0,0.15191063098609447
