ts,catalog_entities,measure,wall_s,n,note
2026-08-19T08:02:42+00:00,10,len(dataset),0.0182,10,rep0
2026-08-19T08:02:42+00:00,10,len(dataset),0.0,10,rep1
2026-08-19T08:02:42+00:00,10,len(dataset),0.0,10,rep2
2026-08-19T08:02:42+00:00,10,sweep_full_items,0.0545,10,
2026-08-19T08:02:42+00:00,10,search_50pct,0.0465,5,p0>=5
2026-08-19T08:02:42+00:00,10,search_10pct,0.0243,1,p0>=9
2026-08-19T08:02:42+00:00,10,search_1pct,0.0208,0,p0>=9.9
2026-08-19T08:02:54+00:00,100,len(dataset),0.0197,100,rep0
2026-08-19T08:02:54+00:00,100,len(dataset),0.0,100,rep1
2026-08-19T08:02:54+00:00,100,len(dataset),0.0,100,rep2
2026-08-19T08:02:54+00:00,100,sweep_full_items,0.2372,100,
2026-08-19T08:02:54+00:00,100,search_50pct,0.1343,50,p0>=50
2026-08-19T08:02:54+00:00,100,search_10pct,0.0424,10,p0>=90
2026-08-19T08:02:54+00:00,100,search_1pct,0.0295,1,p0>=99
2026-08-19T08:03:06+00:00,1000,len(dataset),0.0182,1000,rep0
2026-08-19T08:03:06+00:00,1000,len(dataset),0.0,1000,rep1
2026-08-19T08:03:06+00:00,1000,len(dataset),0.0,1000,rep2
2026-08-19T08:03:09+00:00,1000,sweep_full_items,2.6565,1000,
2026-08-19T08:03:10+00:00,1000,search_50pct,1.4371,500,p0>=500
2026-08-19T08:03:10+00:00,1000,search_10pct,0.2698,100,p0>=900
2026-08-19T08:03:10+00:00,1000,search_1pct,0.054,10,p0>=990
2026-08-19T08:17:45+00:00,10000,len(dataset),0.0172,10000,rep0
2026-08-19T08:17:45+00:00,10000,len(dataset),0.0,10000,rep1
2026-08-19T08:17:45+00:00,10000,len(dataset),0.0,10000,rep2
2026-08-19T08:18:12+00:00,10000,sweep_full_items,26.5933,10000,
2026-08-19T08:18:26+00:00,10000,search_50pct,14.0168,5000,p0>=5000
2026-08-19T08:18:28+00:00,10000,search_10pct,2.4772,1000,p0>=9000
2026-08-19T08:18:28+00:00,10000,search_1pct,0.2416,100,p0>=9900
