layout,n_entities,location,write_path,max_workers,rep,dataset_key,tiled_version,tcb_sha,wall_s,entities,artifacts,skipped,art_failed,entities_per_s,artifacts_per_s,nodes_per_s,call_p50_ms,call_p95_ms,call_p99_ms,app_dur_p50_ms,app_dur_p95_ms
per_entity,10,local,stock,8,0,regbench_per_entity_n10_local_w8_r0_1787125850037,0.2.13,d0ab7f1,2.06791081558913,10,10,0,0,4.83579849025118,4.83579849025118,9.67159698050236,195.61603292822838,570.7549350336194,661.638643592596,163.0,567.4
per_entity,10,local,stock,8,1,regbench_per_entity_n10_local_w8_r1_1787125852187,0.2.13,d0ab7f1,0.8848915547132492,10,10,0,0,11.300819797337223,11.300819797337223,22.601639594674445,145.11514455080032,650.4445262253284,722.4620329216123,142.8,649.5
per_entity,10,local,stock,8,2,regbench_per_entity_n10_local_w8_r2_1787125853129,0.2.13,d0ab7f1,0.9915006775408983,10,10,0,0,10.085721801826516,10.085721801826516,20.17144360365303,129.66400478035212,730.9248140081763,829.0095748379827,128.6,728.7
per_entity,10,local,stock,8,3,regbench_per_entity_n10_local_w8_r3_1787125854218,0.2.13,d0ab7f1,1.457047563046217,10,10,0,0,6.863193936574879,6.863193936574879,13.726387873149758,266.7975528165698,1068.1766793131828,1239.4650764763355,265.2,1064.0
per_entity,10,local,stock,8,4,regbench_per_entity_n10_local_w8_r4_1787125855777,0.2.13,d0ab7f1,1.224247669801116,10,10,0,0,8.168281832731232,8.168281832731232,16.336563665462464,173.99499472230673,794.0381560474634,803.4329870715737,170.4,792.7
per_entity,100,local,stock,8,0,regbench_per_entity_n100_local_w8_r0_1787125869371,0.2.13,d0ab7f1,7.692254053428769,100,100,0,0,13.00009065033749,13.00009065033749,26.00018130067498,166.47715214639902,917.8199842572212,1788.7108325958252,165.3,916.7
per_entity,100,local,stock,8,1,regbench_per_entity_n100_local_w8_r1_1787125877163,0.2.13,d0ab7f1,8.067950208671391,100,100,0,0,12.394722006653005,12.394722006653005,24.78944401330601,155.4544549435377,1254.0466478094459,2852.4408284574747,154.2,1252.9
per_entity,100,local,stock,8,2,regbench_per_entity_n100_local_w8_r2_1787125885312,0.2.13,d0ab7f1,7.6440788665786386,100,100,0,0,13.082020966217257,13.082020966217257,26.164041932434515,139.25136625766754,1041.3046088069677,2385.285626165569,138.1,1040.3
per_entity,100,local,stock,8,3,regbench_per_entity_n100_local_w8_r3_1787125893052,0.2.13,d0ab7f1,7.67134745977819,100,100,0,0,13.03551957779415,13.03551957779415,26.0710391555883,157.33530279248953,1043.9400244504213,1793.348097242415,156.3,1042.9
per_entity,100,local,stock,8,4,regbench_per_entity_n100_local_w8_r4_1787125900819,0.2.13,d0ab7f1,7.445611561648548,100,100,0,0,13.430730192142713,13.430730192142713,26.861460384285426,152.37105544656515,1087.015500292182,2019.1472871229053,151.3,1086.0
per_entity,1000,local,stock,8,0,regbench_per_entity_n1000_local_w8_r0_1787125927358,0.2.13,d0ab7f1,87.24421628378332,1000,1000,0,0,11.462077861382278,11.462077861382278,22.924155722764556,178.97688783705235,1335.7349820435047,2930.5490171536803,176.9,1334.7
per_entity,1000,local,stock,8,1,regbench_per_entity_n1000_local_w8_r1_1787126014740,0.2.13,d0ab7f1,76.02411870937794,1000,1000,0,0,13.15372038474739,13.15372038474739,26.30744076949478,156.22734371572733,1149.3500098586082,2550.995834171772,155.0,1148.2
