layout,n_entities,location,write_path,max_workers,rep,dataset_key,tiled_version,tcb_sha,wall_s,entities,artifacts,skipped,art_failed,entities_per_s,artifacts_per_s,nodes_per_s,call_p50_ms,call_p95_ms,call_p99_ms,app_dur_p50_ms,app_dur_p95_ms,server_version
per_entity,10,remote,stock,8,0,regbench_per_entity_n10_remote_w8_r0_1787127918189,0.2.13,d0ab7f1,1.1855199337005615,10,10,0,0,8.435117551153551,8.435117551153551,16.870235102307102,77.09590438753366,145.51699440926313,161.1202023923397,64.1,140.4,0.2.15b1.dev14+b7aafcd1
per_entity,10,remote,stock,8,1,regbench_per_entity_n10_remote_w8_r1_1787127919508,0.2.13,d0ab7f1,0.3571154158562422,10,10,0,0,28.00215156218719,28.00215156218719,56.00430312437438,56.15057051181793,170.0474303215742,171.5049371123314,52.2,161.8,0.2.15b1.dev14+b7aafcd1
per_entity,10,remote,stock,8,2,regbench_per_entity_n10_remote_w8_r2_1787127919964,0.2.13,d0ab7f1,0.5557847376912832,10,10,0,0,17.99257756076528,17.99257756076528,35.98515512153056,71.63896691054106,199.0599576383829,206.58455323427916,56.8,122.1,0.2.15b1.dev14+b7aafcd1
per_entity,10,remote,stock,8,3,regbench_per_entity_n10_remote_w8_r3_1787127920649,0.2.13,d0ab7f1,0.5285757128149271,10,10,0,0,18.91876557616515,18.91876557616515,37.8375311523303,71.2361903861165,183.9834889397025,232.3085507377982,67.8,179.8,0.2.15b1.dev14+b7aafcd1
per_entity,10,remote,stock,8,4,regbench_per_entity_n10_remote_w8_r4_1787127921298,0.2.13,d0ab7f1,0.4156846897676587,10,10,0,0,24.05669548616131,24.05669548616131,48.11339097232262,76.03609468787909,139.84170276671648,140.29201120138168,72.2,134.8,0.2.15b1.dev14+b7aafcd1
per_entity,100,remote,stock,8,0,regbench_per_entity_n100_remote_w8_r0_1787127922604,0.2.13,d0ab7f1,2.601850960403681,100,100,0,0,38.43417686941025,38.43417686941025,76.8683537388205,64.5520007237792,206.16290532052517,262.1454121544957,57.9,185.7,0.2.15b1.dev14+b7aafcd1
per_entity,100,remote,stock,8,1,regbench_per_entity_n100_remote_w8_r1_1787127925346,0.2.13,d0ab7f1,2.4011170510202646,100,100,0,0,41.64728244194041,41.64728244194041,83.29456488388082,68.52807104587555,187.04170361161232,253.53118777275085,64.0,179.2,0.2.15b1.dev14+b7aafcd1
per_entity,100,remote,stock,8,2,regbench_per_entity_n100_remote_w8_r2_1787127927893,0.2.13,d0ab7f1,2.377589742653072,100,100,0,0,42.05940083187497,42.05940083187497,84.11880166374993,65.77516254037619,187.84800916910172,215.47927055507898,60.7,182.3,0.2.15b1.dev14+b7aafcd1
per_entity,100,remote,stock,8,3,regbench_per_entity_n100_remote_w8_r3_1787127930459,0.2.13,d0ab7f1,2.4628928638994694,100,100,0,0,40.60265936280768,40.60265936280768,81.20531872561536,67.65018496662378,209.95267294347286,278.2737500965595,63.6,203.2,0.2.15b1.dev14+b7aafcd1
per_entity,100,remote,stock,8,4,regbench_per_entity_n100_remote_w8_r4_1787127933098,0.2.13,d0ab7f1,2.54197845607996,100,100,0,0,39.33943647744842,39.33943647744842,78.67887295489685,69.37145907431841,215.42662475258112,337.74726931005716,62.0,189.1,0.2.15b1.dev14+b7aafcd1
per_entity,1000,remote,stock,8,0,regbench_per_entity_n1000_remote_w8_r0_1787127941947,0.2.13,d0ab7f1,23.482255741022527,1000,1000,0,0,42.585346613572625,42.585346613572625,85.17069322714525,68.26178915798664,216.99892170727253,321.3719427585602,63.4,210.5,0.2.15b1.dev14+b7aafcd1
per_entity,1000,remote,stock,8,1,regbench_per_entity_n1000_remote_w8_r1_1787127965559,0.2.13,d0ab7f1,22.924717353656888,1000,1000,0,0,43.621039447209704,43.621039447209704,87.24207889441941,66.80106371641159,225.91939475387335,315.8961469307542,61.8,215.6,0.2.15b1.dev14+b7aafcd1
per_entity,1000,remote,stock,8,2,regbench_per_entity_n1000_remote_w8_r2_1787127988651,0.2.13,d0ab7f1,23.730780197307467,1000,1000,0,0,42.13936464311703,42.13936464311703,84.27872928623405,69.12950146943331,226.91483423113823,301.9063472747803,64.3,221.5,0.2.15b1.dev14+b7aafcd1
batched,10,remote,stock,8,0,regbench_batched_n10_remote_w8_r0_1787128012653,0.2.13,d0ab7f1,0.497951939702034,10,10,0,0,20.08225935616162,20.08225935616162,40.16451871232324,70.50241623073816,195.27021888643503,300.3205507993698,57.1,191.5,0.2.15b1.dev14+b7aafcd1
batched,10,remote,stock,8,1,regbench_batched_n10_remote_w8_r1_1787128013292,0.2.13,d0ab7f1,0.3953304700553417,10,10,0,0,25.29529281818352,25.29529281818352,50.59058563636704,71.62054628133774,101.80533677339554,124.6178187429905,65.5,97.8,0.2.15b1.dev14+b7aafcd1
batched,10,remote,stock,8,2,regbench_batched_n10_remote_w8_r2_1787128013802,0.2.13,d0ab7f1,0.4116492820903659,10,10,0,0,24.292523842674367,24.292523842674367,48.585047685348734,77.91026402264833,146.23929280787706,146.93875424563885,74.6,140.1,0.2.15b1.dev14+b7aafcd1
batched,10,remote,stock,8,3,regbench_batched_n10_remote_w8_r3_1787128014313,0.2.13,d0ab7f1,0.33450303971767426,10,10,0,0,29.895094551129205,29.895094551129205,59.79018910225841,63.09601757675409,110.96499487757683,122.55042418837547,59.1,104.6,0.2.15b1.dev14+b7aafcd1
batched,10,remote,stock,8,4,regbench_batched_n10_remote_w8_r4_1787128014748,0.2.13,d0ab7f1,0.7177498517557979,10,10,0,0,13.932430603137664,13.932430603137664,27.86486120627533,161.90969292074442,321.2344627827406,358.44010300934315,158.2,313.9,0.2.15b1.dev14+b7aafcd1
batched,100,remote,stock,8,0,regbench_batched_n100_remote_w8_r0_1787128015742,0.2.13,d0ab7f1,2.790553690865636,100,100,0,0,35.835182217540414,35.835182217540414,71.67036443508083,71.58149499446154,238.67710679769516,352.6379130780697,67.5,229.1,0.2.15b1.dev14+b7aafcd1
batched,100,remote,stock,8,1,regbench_batched_n100_remote_w8_r1_1787128018704,0.2.13,d0ab7f1,2.5696949306875467,100,100,0,0,38.91512521809118,38.91512521809118,77.83025043618235,71.01705577224493,235.87516974657774,279.3825203552842,65.7,232.3,0.2.15b1.dev14+b7aafcd1
batched,100,remote,stock,8,2,regbench_batched_n100_remote_w8_r2_1787128021394,0.2.13,d0ab7f1,2.5280236219987273,100,100,0,0,39.55659240277872,39.55659240277872,79.11318480555744,70.85837330669165,237.80075181275606,317.34269484877586,63.9,215.5,0.2.15b1.dev14+b7aafcd1
batched,100,remote,stock,8,3,regbench_batched_n100_remote_w8_r3_1787128024062,0.2.13,d0ab7f1,2.412310665473342,100,100,0,0,41.45403054062196,41.45403054062196,82.90806108124391,66.43516663461924,200.81783551722765,299.6826395392418,62.0,172.5,0.2.15b1.dev14+b7aafcd1
batched,100,remote,stock,8,4,regbench_batched_n100_remote_w8_r4_1787128026623,0.2.13,d0ab7f1,2.661338971927762,100,100,0,0,37.575070689910724,37.575070689910724,75.15014137982145,73.34393542259932,228.6297334358096,376.96667294949293,67.7,225.0,0.2.15b1.dev14+b7aafcd1
batched,1000,remote,stock,8,0,regbench_batched_n1000_remote_w8_r0_1787128029623,0.2.13,d0ab7f1,23.148664918728173,1000,1000,0,0,43.19903560360239,43.19903560360239,86.39807120720478,69.32439561933279,212.53280714154243,284.98548548668623,64.0,205.1,0.2.15b1.dev14+b7aafcd1
batched,1000,remote,stock,8,1,regbench_batched_n1000_remote_w8_r1_1787128052913,0.2.13,d0ab7f1,24.65408227685839,1000,1000,0,0,40.561233988362744,40.561233988362744,81.12246797672549,70.64148224890232,233.81163831800222,347.1344271674752,65.4,226.1,0.2.15b1.dev14+b7aafcd1
batched,1000,remote,stock,8,2,regbench_batched_n1000_remote_w8_r2_1787128077723,0.2.13,d0ab7f1,23.970106840133667,1000,1000,0,0,41.7186292355476,41.7186292355476,83.4372584710952,70.71115262806416,214.67655338346958,329.1064612567425,65.5,204.7,0.2.15b1.dev14+b7aafcd1
