layout,n_entities,location,write_path,max_workers,rep,dataset_key,tiled_version,tcb_sha,wall_s,entities,artifacts,skipped,art_failed,entities_per_s,artifacts_per_s,nodes_per_s,call_p50_ms,call_p95_ms,call_p99_ms,app_dur_p50_ms,app_dur_p95_ms,server_version
per_entity,10,remote,stock,8,0,regbench_per_entity_n10_remote_w8_r0_1787127679473,0.2.13,9e36bcd,1.685955448076129,10,10,0,0,5.931354835865421,5.931354835865421,11.862709671730842,139.9424485862255,185.1308522745967,185.54889038205147,131.7,180.8,0.2.15b1.dev14+b7aafcd1
per_entity,10,remote,stock,8,1,regbench_per_entity_n10_remote_w8_r1_1787127681286,0.2.13,9e36bcd,0.4319764766842127,10,10,0,0,23.149408682524836,23.149408682524836,46.29881736504967,64.04244247823954,144.2957567051053,174.5031215250492,58.6,138.9,0.2.15b1.dev14+b7aafcd1
per_entity,10,remote,stock,8,2,regbench_per_entity_n10_remote_w8_r2_1787127681838,0.2.13,9e36bcd,0.7121463185176253,10,10,0,0,14.042058127626905,14.042058127626905,28.08411625525381,104.11054361611605,188.96785099059343,279.9254786223173,97.4,179.2,0.2.15b1.dev14+b7aafcd1
per_entity,10,remote,stock,8,3,regbench_per_entity_n10_remote_w8_r3_1787127682686,0.2.13,9e36bcd,0.7193963900208473,10,10,0,0,13.900542369569315,13.900542369569315,27.80108473913863,70.63054107129574,271.9761561602354,272.8026807308197,67.0,261.8,0.2.15b1.dev14+b7aafcd1
per_entity,10,remote,stock,8,4,regbench_per_entity_n10_remote_w8_r4_1787127683501,0.2.13,9e36bcd,0.46620238199830055,10,10,0,0,21.44991185402492,21.44991185402492,42.89982370804984,65.33622555434704,115.29001593589783,135.77436469495296,60.6,111.6,0.2.15b1.dev14+b7aafcd1
per_entity,100,remote,stock,8,0,regbench_per_entity_n100_remote_w8_r0_1787127684835,0.2.13,9e36bcd,3.535839468240738,100,100,0,0,28.28182696024804,28.28182696024804,56.56365392049608,72.94984254986048,211.48136723786592,346.5620493516326,68.0,207.9,0.2.15b1.dev14+b7aafcd1
per_entity,100,remote,stock,8,1,regbench_per_entity_n100_remote_w8_r1_1787127688486,0.2.13,9e36bcd,3.322549228556454,100,100,0,0,30.097371963829993,30.097371963829993,60.194743927659985,68.1652370840311,220.52254062145948,289.35554903000593,63.6,214.0,0.2.15b1.dev14+b7aafcd1
per_entity,100,remote,stock,8,2,regbench_per_entity_n100_remote_w8_r2_1787127691950,0.2.13,9e36bcd,3.29188144672662,100,100,0,0,30.377764697279108,30.377764697279108,60.755529394558216,71.89801335334778,201.8316024914384,260.2643445134163,67.4,197.5,0.2.15b1.dev14+b7aafcd1
per_entity,100,remote,stock,8,3,regbench_per_entity_n100_remote_w8_r3_1787127695387,0.2.13,9e36bcd,3.4296049159020185,100,100,0,0,29.15787749671424,29.15787749671424,58.31575499342848,69.41462960094213,236.4437272772193,338.2365582510829,64.5,219.6,0.2.15b1.dev14+b7aafcd1
per_entity,100,remote,stock,8,4,regbench_per_entity_n100_remote_w8_r4_1787127698942,0.2.13,9e36bcd,3.4030572585761547,100,100,0,0,29.385341591883815,29.385341591883815,58.77068318376763,64.49371948838234,211.447237059474,304.0052419528365,60.2,204.0,0.2.15b1.dev14+b7aafcd1
per_entity,1000,remote,stock,8,0,regbench_per_entity_n1000_remote_w8_r0_1787127709268,0.2.13,9e36bcd,30.717777927406132,1000,1000,0,0,32.55443809650726,32.55443809650726,65.10887619301452,70.81551477313042,210.42210794985294,292.0097066089511,65.3,200.7,0.2.15b1.dev14+b7aafcd1
per_entity,1000,remote,stock,8,1,regbench_per_entity_n1000_remote_w8_r1_1787127740158,0.2.13,9e36bcd,30.819746097549796,1000,1000,0,0,32.44673063933843,32.44673063933843,64.89346127867687,69.46728099137545,216.24470874667168,292.99947526305914,64.3,209.4,0.2.15b1.dev14+b7aafcd1
per_entity,1000,remote,stock,8,2,regbench_per_entity_n1000_remote_w8_r2_1787127771128,0.2.13,9e36bcd,30.548554234206676,1000,1000,0,0,32.73477338185295,32.73477338185295,65.4695467637059,67.90644116699696,219.43647786974907,340.1550268754363,62.7,205.8,0.2.15b1.dev14+b7aafcd1
batched,10,remote,stock,8,0,regbench_batched_n10_remote_w8_r0_1787127801960,0.2.13,9e36bcd,0.6026424327865243,10,10,0,0,16.593587600132246,16.593587600132246,33.18717520026449,75.94406139105558,139.94655944406986,169.5669898763299,72.4,135.8,0.2.15b1.dev14+b7aafcd1
batched,10,remote,stock,8,1,regbench_batched_n10_remote_w8_r1_1787127802664,0.2.13,9e36bcd,0.6077599655836821,10,10,0,0,16.453864298870318,16.453864298870318,32.907728597740636,54.01124618947506,289.4364232197404,294.34904269874096,49.2,283.4,0.2.15b1.dev14+b7aafcd1
batched,10,remote,stock,8,2,regbench_batched_n10_remote_w8_r2_1787127803388,0.2.13,9e36bcd,0.4523529652506113,10,10,0,0,22.106630813086035,22.106630813086035,44.21326162617207,59.69252809882164,115.91404024511576,138.50677572190762,56.0,97.5,0.2.15b1.dev14+b7aafcd1
batched,10,remote,stock,8,3,regbench_batched_n10_remote_w8_r3_1787127803947,0.2.13,9e36bcd,0.5869384175166488,10,10,0,0,17.037562547550138,17.037562547550138,34.075125095100276,61.85674387961626,207.3252024129033,289.89880066365004,58.1,187.9,0.2.15b1.dev14+b7aafcd1
batched,10,remote,stock,8,4,regbench_batched_n10_remote_w8_r4_1787127804666,0.2.13,9e36bcd,0.5930721806362271,10,10,0,0,16.8613540248547,16.8613540248547,33.7227080497094,74.0480711683631,233.71170181781054,283.5777187719941,68.9,229.2,0.2.15b1.dev14+b7aafcd1
batched,100,remote,stock,8,0,regbench_batched_n100_remote_w8_r0_1787127805550,0.2.13,9e36bcd,3.143144316971302,100,100,0,0,31.81527474257334,31.81527474257334,63.63054948514668,69.63746529072523,196.32560014724731,243.66485327482224,64.6,189.4,0.2.15b1.dev14+b7aafcd1
batched,100,remote,stock,8,1,regbench_batched_n100_remote_w8_r1_1787127808809,0.2.13,9e36bcd,3.026899240911007,100,100,0,0,33.03710894912477,33.03710894912477,66.07421789824954,66.31194800138474,173.5392678529024,201.4081683009863,60.6,170.0,0.2.15b1.dev14+b7aafcd1
batched,100,remote,stock,8,2,regbench_batched_n100_remote_w8_r2_1787127811982,0.2.13,9e36bcd,3.315959433093667,100,100,0,0,30.15718437384613,30.15718437384613,60.31436874769226,71.12099137157202,217.1499477699399,342.385308817029,66.5,206.3,0.2.15b1.dev14+b7aafcd1
batched,100,remote,stock,8,3,regbench_batched_n100_remote_w8_r3_1787127815426,0.2.13,9e36bcd,3.861283663660288,100,100,0,0,25.898123191810626,25.898123191810626,51.79624638362125,85.72759199887514,245.27951050549746,317.4295397475362,80.9,240.9,0.2.15b1.dev14+b7aafcd1
