ts,dataset,key,layout,path,cache_state,workers,rep,seed,n_samples,cap,bytes_total,epoch_s,samples_per_s,mb_per_s,rdcc_mb,discovery_s,discovery_route,skew_s,busy_frac,errors,guardrail_ok,spot_ok,prime_s,evict_s,node,tilewright_sha,tiled_client,server_version,python,notes
2026-09-20T05:09:18+00:00,edrixs,BENCH_BATCHED_5F,batched,mode_a,warm,1,0,20260919,64,64,3092480,1.686,37.95,1.8,1.0,25.734,query_catalog,0.0,1.0,0,1,0b0m,0.3,0.0,sdfmilan073,b268731,0.2.18,0.2.15b1.dev14+b7aafcd1,3.12.12,discovery_sweep_probe
2026-09-20T05:10:10+00:00,edrixs,BENCH_BATCHED_5F,batched,h5py_plain,warm,1,0,20260920,2000,2000,96640000,50.03,39.98,1.9,1.0,0.029,glob+harvest,0.0,1.0,0,1,0b0m,0.1,0.0,sdfmilan073,b268731,0.2.18,0.2.15b1.dev14+b7aafcd1,3.12.12,
2026-09-20T05:14:21+00:00,edrixs,BENCH_BATCHED_5F,batched,h5py_plain,warm,1,0,20260920,10000,0,483200000,250.258,39.96,1.9,256.0,0.031,glob+harvest,0.0,1.0,0,1,0b0m,0.1,0.0,sdfmilan073,b268731,0.2.18,0.2.15b1.dev14+b7aafcd1,3.12.12,
2026-09-20T05:15:16+00:00,edrixs,BENCH_BATCHED_5F,batched,mode_a,warm,1,0,20260920,2000,2000,96640000,53.35,37.49,1.8,1.0,1.267,cached,0.0,1.0,0,1,0b0m,0.1,0.0,sdfmilan073,b268731,0.2.18,0.2.15b1.dev14+b7aafcd1,3.12.12,
2026-09-20T05:16:09+00:00,edrixs,BENCH_BATCHED_5F,batched,mode_a_cached,warm,1,0,20260920,2000,2000,96640000,50.535,39.58,1.9,1.0,1.019,cached,0.0,1.0,0,1,0b0m,0.1,0.0,sdfmilan073,b268731,0.2.18,0.2.15b1.dev14+b7aafcd1,3.12.12,
2026-09-20T05:20:21+00:00,edrixs,BENCH_BATCHED_5F,batched,mode_a_cached,warm,1,0,20260920,10000,0,483200000,250.206,39.97,1.9,256.0,0.962,cached,0.0,1.0,0,1,0b0m,0.1,0.0,sdfmilan073,b268731,0.2.18,0.2.15b1.dev14+b7aafcd1,3.12.12,
2026-09-20T05:21:13+00:00,edrixs,BENCH_BATCHED_5F,batched,h5py_plain,warm,1,0,20260921,2000,2000,96640000,50.614,39.52,1.9,1.0,0.029,glob+harvest,0.0,1.0,0,1,0b0m,0.1,0.0,sdfmilan073,b268731,0.2.18,0.2.15b1.dev14+b7aafcd1,3.12.12,
2026-09-20T05:25:21+00:00,edrixs,BENCH_BATCHED_5F,batched,h5py_plain,warm,1,0,20260921,10000,0,483200000,245.307,40.77,2.0,256.0,0.032,glob+harvest,0.0,1.0,0,1,0b0m,0.1,0.0,sdfmilan073,b268731,0.2.18,0.2.15b1.dev14+b7aafcd1,3.12.12,
2026-09-20T05:26:16+00:00,edrixs,BENCH_BATCHED_5F,batched,mode_a,warm,1,0,20260921,2000,2000,96640000,52.737,37.92,1.8,1.0,0.845,cached,0.0,1.0,0,1,0b0m,0.0,0.0,sdfmilan073,b268731,0.2.18,0.2.15b1.dev14+b7aafcd1,3.12.12,
2026-09-20T05:27:09+00:00,edrixs,BENCH_BATCHED_5F,batched,mode_a_cached,warm,1,0,20260921,2000,2000,96640000,50.749,39.41,1.9,1.0,1.12,cached,0.0,1.0,0,1,0b0m,0.1,0.0,sdfmilan073,b268731,0.2.18,0.2.15b1.dev14+b7aafcd1,3.12.12,
2026-09-20T05:31:26+00:00,edrixs,BENCH_BATCHED_5F,batched,mode_a_cached,warm,1,0,20260921,10000,0,483200000,255.203,39.18,1.9,256.0,0.853,cached,0.0,1.0,0,1,0b0m,0.1,0.0,sdfmilan073,b268731,0.2.18,0.2.15b1.dev14+b7aafcd1,3.12.12,
2026-09-20T05:32:16+00:00,edrixs,BENCH_BATCHED_5F,batched,h5py_plain,warm,1,0,20260922,2000,2000,96640000,49.855,40.12,1.9,1.0,0.024,glob+harvest,0.0,1.0,0,1,0b0m,0.0,0.0,sdfmilan073,b268731,0.2.18,0.2.15b1.dev14+b7aafcd1,3.12.12,
