ts,dataset,key,layout,path,cache_state,workers,rep,seed,n_samples,cap,bytes_total,epoch_s,samples_per_s,mb_per_s,rdcc_mb,discovery_s,discovery_route,skew_s,busy_frac,errors,guardrail_ok,spot_ok,prime_s,evict_s,node,tilewright_sha,tiled_client,server_version,python,notes
2026-09-20T09:11:52+00:00,nips3,BENCH_PER_ENTITY,per_entity,mode_a,warm,1,0,20260919,64,64,209793536,0.262,243.93,799.6,1.0,15.727,query_catalog,0.0,1.0,0,1,0b0m,111.8,0.0,sdfmilan073,b268731,0.2.18,0.2.15b1.dev14+b7aafcd1,3.12.12,discovery_sweep_probe
2026-09-20T09:12:54+00:00,nips3,BENCH_PER_ENTITY,per_entity,h5py_plain,warm,1,0,20260920,7616,0,24965430784,16.31,466.95,1530.7,1.0,39.982,glob+harvest,0.0,1.0,0,1,0b0m,5.7,0.0,sdfmilan073,b268731,0.2.18,0.2.15b1.dev14+b7aafcd1,3.12.12,
2026-09-20T09:13:31+00:00,nips3,BENCH_PER_ENTITY,per_entity,mode_a,warm,1,0,20260920,7616,0,24965430784,30.474,249.92,819.2,1.0,0.959,cached,0.0,1.0,0,1,0b0m,4.3,0.0,sdfmilan073,b268731,0.2.18,0.2.15b1.dev14+b7aafcd1,3.12.12,
2026-09-20T09:13:55+00:00,nips3,BENCH_PER_ENTITY,per_entity,mode_a_cached,warm,1,0,20260920,7616,0,24965430784,17.633,431.92,1415.9,1.0,0.928,cached,0.0,1.0,0,1,0b0m,4.8,0.0,sdfmilan073,b268731,0.2.18,0.2.15b1.dev14+b7aafcd1,3.12.12,
2026-09-20T09:14:57+00:00,nips3,BENCH_PER_ENTITY,per_entity,h5py_plain,warm,1,0,20260921,7616,0,24965430784,16.293,467.44,1532.3,1.0,40.003,glob+harvest,0.0,1.0,0,1,0b0m,4.6,0.0,sdfmilan073,b268731,0.2.18,0.2.15b1.dev14+b7aafcd1,3.12.12,
2026-09-20T09:15:36+00:00,nips3,BENCH_PER_ENTITY,per_entity,mode_a,warm,1,0,20260921,7616,0,24965430784,33.016,230.67,756.2,1.0,1.037,cached,0.0,1.0,0,1,0b0m,4.8,0.0,sdfmilan073,b268731,0.2.18,0.2.15b1.dev14+b7aafcd1,3.12.12,
2026-09-20T09:15:58+00:00,nips3,BENCH_PER_ENTITY,per_entity,mode_a_cached,warm,1,0,20260921,7616,0,24965430784,16.084,473.51,1552.2,1.0,0.96,cached,0.0,1.0,0,1,0b0m,4.6,0.0,sdfmilan073,b268731,0.2.18,0.2.15b1.dev14+b7aafcd1,3.12.12,
2026-09-20T09:16:59+00:00,nips3,BENCH_PER_ENTITY,per_entity,h5py_plain,warm,1,0,20260922,7616,0,24965430784,16.149,471.59,1545.9,1.0,39.743,glob+harvest,0.0,1.0,0,1,0b0m,4.5,0.0,sdfmilan073,b268731,0.2.18,0.2.15b1.dev14+b7aafcd1,3.12.12,
2026-09-20T09:17:37+00:00,nips3,BENCH_PER_ENTITY,per_entity,mode_a,warm,1,0,20260922,7616,0,24965430784,30.657,248.43,814.4,1.0,0.907,cached,0.0,1.0,0,1,0b0m,4.9,0.0,sdfmilan073,b268731,0.2.18,0.2.15b1.dev14+b7aafcd1,3.12.12,
2026-09-20T09:17:59+00:00,nips3,BENCH_PER_ENTITY,per_entity,mode_a_cached,warm,1,0,20260922,7616,0,24965430784,16.368,465.31,1525.3,1.0,0.953,cached,0.0,1.0,0,1,0b0m,4.6,0.0,sdfmilan073,b268731,0.2.18,0.2.15b1.dev14+b7aafcd1,3.12.12,
